,brand,name,price
0,Nike,Nike Dunk Low Retro Black,"191,000"
1,Nike,Nike x Travis Scott Air Max 1 Cact.us Brown,"340,000"
2,Nike,Nike Air Force 1 '07 Low White,"118,000"
3,Nike,Nike x Stussy Air Force 1 '07 Mid SP Black and Light Bone,"265,000"
4,Nike,Nike x Travis Scott Air Max 1 Cact.us Gold,"235,000"
5,Nike,(W) Nike Dunk Low Black,"200,000"
6,Nike,Nike Dunk Low Retro Wolf Grey,"220,000"
7,Nike,(W) Nike Air Force 1 '07 Low White,"129,000"
8,Nike,Nike SB Dunk Low Pro Shamrock,"198,000"
9,Nike,Nike x Sacai x Fragment LDWaffle Light Smoke Grey,"599,000"
10,Nike,Nike Dunk Low Retro PRM Halloween,"208,000"
11,Nike,(GS) Nike Dunk Low Black,"168,000"
12,Nike,Nike x Peaceminusone Kwondo1 White,"250,000"
13,Nike,Nike x Peaceminusone Air Force 1 Low Para-Noise 2.0,"550,000"
14,Nike,Nike x Supreme Air Force 1 Low White,"192,000"
15,Nike,Nike Air Force 1 '07 LV8 Athletic Club Light Smoke Grey Marina,"174,000"
16,Nike,Nike x Sacai VaporWaffle White and Gum,"520,000"
17,Nike,Nike x Stussy Air Force 1 '07 Mid SP Fossil,"180,000"
18,Nike,Nike Air Force 1 '07 LV8 Varsity Jacket White Pine Green,"179,000"
19,Nike,Nike x Stussy NRG RA Fleece Pants Dark Grey Heather (DJ9490-063),"130,000"
20,Nike,Nike Dunk Low Retro Racer Blue and White,"130,000"
21,Nike,Nike x Stussy NRG RA T-Shirt Summit White (DM4942-121),"193,000"
22,Nike,Nike Air Force 1 '07 LV8 Athletic Club Black Dark Sulfur,"152,000"
23,Nike,Nike x Sacai x Undercover LDWaffle Black Bright Citron,"235,000"
24,Nike,Nike x Travis Scott Air Trainer 1 Archaeo Brown and Rust Pink,"184,000"
25,Nike,(W) Nike Dunk Low Light Smoke Grey,"238,000"
26,Nike,Nike x NBA Dunk Low Retro EMB Black and Chile Red,"179,000"
27,Nike,(GS) Nike Dunk Low PRM Halloween,"179,000"
28,Nike,Nike x Union Dunk Low Passport Pack Argon,"237,000"
29,Nike,(W) Nike Dunk Low Venice,"189,000"
30,Nike,Nike x Sacai x Clot LDWaffle Cool Grey,"310,000"
31,Nike,Nike x Supreme Air Force 1 Low Flax,"293,000"
32,Nike,Nike x Stussy NRG RA Washed Pullover Hoodie Black (DN4028-010),"198,000"
33,Nike,(W) Nike TC 7900 Summit White,"119,000"
34,Nike,Nike Dunk Low Retro Championship Court Purple,"169,000"
35,Nike,(W) Nike Dunk Low Vintage Green,"360,000"
36,Nike,Nike x Sacai VaporWaffle Black and Gum,"385,000"
37,Nike,Nike Air Force 1 '07 WB Flax,"184,000"
38,Nike,Nike x Stussy NRG RA Pullover Hoodie Dark Grey Heather (DJ9488-063),"198,000"
39,Nike,Nike x Stussy NRG RA Washed Fleece Pants Black (DN4030-010),"139,000"
40,Jordan,Jordan 1 Retro High OG Black Mocha,"610,000"
41,Jordan,Jordan 1 Mid Light Smoke Grey Anthracite,"190,000"
42,Jordan,Jordan 4 Retro White and Black,"317,000"
43,Jordan,Jordan 1 Retro High OG Bleached Coral,"215,000"
44,Jordan,Jordan 1 Low Golf Wolf Grey,"277,000"
45,Jordan,(W) Jordan 1 Elevate Low SE White and Wolf Grey,"228,000"
46,Jordan,Jordan 1 Low Golf Chicago,"310,000"
47,Jordan,(W) Jordan 1 Low White Dark Marina Blue,"188,000"
48,Jordan,(W) Jordan 1 Low Black University Blue,"241,000"
